old_name,new_name
Acoelorraphe-wrightii-PL35_S31_L001_R1_001.fastq,1001_R1.fastq
Acoelorraphe-wrightii-PL35_S31_L001_R2_001.fastq,1001_R2.fastq
Arenga-caudata-PL1_S1_L001_R1_001.fastq,1002_R1.fastq
Arenga-caudata-PL1_S1_L001_R2_001.fastq,1002_R2.fastq
Arenga-hookeriana-PL30_S26_L001_R1_001.fastq,1003_R1.fastq
Arenga-hookeriana-PL30_S26_L001_R2_001.fastq,1003_R2.fastq
Arenga-westerhoutii-PL2_S2_L001_R1_001.fastq,1004_R1.fastq
Arenga-westerhoutii-PL2_S2_L001_R2_001.fastq,1004_R2.fastq
Caryota-monostachya-PL4_S3_L001_R1_001.fastq,1005_R1.fastq
Caryota-monostachya-PL4_S3_L001_R2_001.fastq,1005_R2.fastq
Caryota-ophiopellis-PL29_S25_L001_R1_001.fastq,1006_R1.fastq
Caryota-ophiopellis-PL29_S25_L001_R2_001.fastq,1006_R2.fastq
Caryota-zebrina-PL46_S35_L001_R1_001.fastq,1007_R1.fastq
Caryota-zebrina-PL46_S35_L001_R2_001.fastq,1007_R2.fastq
Corypha-taliera-PL28_S24_L001_R1_001.fastq,1008_R1.fastq
Corypha-taliera-PL28_S24_L001_R2_001.fastq,1008_R2.fastq
Lanonia-calciphila-PL5_S4_L001_R1_001.fastq,1009_R1.fastq
Lanonia-calciphila-PL5_S4_L001_R2_001.fastq,1009_R2.fastq
Lanonia-centralis-PL6_S5_L001_R1_001.fastq,1010_R1.fastq
Lanonia-centralis-PL6_S5_L001_R2_001.fastq,1010_R2.fastq
Lanonia-dasyantha-PL7_S6_L001_R1_001.fastq,1011_R1.fastq
Lanonia-dasyantha-PL7_S6_L001_R2_001.fastq,1011_R2.fastq
Licuala-bellatula-PL9_S7_L001_R1_001.fastq,1012_R1.fastq
Licuala-bellatula-PL9_S7_L001_R2_001.fastq,1012_R2.fastq
Licuala-grandiflora-PL32_S28_L001_R1_001.fastq,1013_R1.fastq
Licuala-grandiflora-PL32_S28_L001_R2_001.fastq,1013_R2.fastq
Licuala-insignis-PL10_S8_L001_R1_001.fastq,1014_R1.fastq
Licuala-insignis-PL10_S8_L001_R2_001.fastq,1014_R2.fastq
Licuala-lauterbachii-PL33_S29_L001_R1_001.fastq,1015_R1.fastq
Licuala-lauterbachii-PL33_S29_L001_R2_001.fastq,1015_R2.fastq
Licuala-montana-PL34_S30_L001_R1_001.fastq,1016_R1.fastq
Licuala-montana-PL34_S30_L001_R2_001.fastq,1016_R2.fastq
Licuala-paludosa-PL11_S9_L001_R1_001.fastq,1017_R1.fastq
Licuala-paludosa-PL11_S9_L001_R2_001.fastq,1017_R2.fastq
Phoenix-acaulis-PL27_S23_L001_R1_001.fastq,1018_R1.fastq
Phoenix-acaulis-PL27_S23_L001_R2_001.fastq,1018_R2.fastq
Phoenix-caespitosa-PL22_S18_L001_R1_001.fastq,1019_R1.fastq
Phoenix-caespitosa-PL22_S18_L001_R2_001.fastq,1019_R2.fastq
Phoenix-canariensis-PL20_S16_L001_R1_001.fastq,1020_R1.fastq
Phoenix-canariensis-PL20_S16_L001_R2_001.fastq,1020_R2.fastq
Phoenix-dactylifera-PL21_S17_L001_R1_001.fastq,1021_R1.fastq
Phoenix-dactylifera-PL21_S17_L001_R2_001.fastq,1021_R2.fastq
Phoenix-loureiroi-var-loureiroi-PL18_S14_L001_R1_001.fastq,1022_R1.fastq
Phoenix-loureiroi-var-loureiroi-PL18_S14_L001_R2_001.fastq,1022_R2.fastq
Phoenix-loureiroi-var-pedunculata-PL26_S22_L001_R1_001.fastq,1023_R1.fastq
Phoenix-loureiroi-var-pedunculata-PL26_S22_L001_R2_001.fastq,1023_R2.fastq
Phoenix-pusilla-PL25_S21_L001_R1_001.fastq,1024_R1.fastq
Phoenix-pusilla-PL25_S21_L001_R2_001.fastq,1024_R2.fastq
Phoenix-roebelenii-PL19_S15_L001_R1_001.fastq,1025_R1.fastq
Phoenix-roebelenii-PL19_S15_L001_R2_001.fastq,1025_R2.fastq
Phoenix-rupicola-PL24_S20_L001_R1_001.fastq,1026_R1.fastq
Phoenix-rupicola-PL24_S20_L001_R2_001.fastq,1026_R2.fastq
Phoenix-sylvestris-PL23_S19_L001_R1_001.fastq,1027_R1.fastq
Phoenix-sylvestris-PL23_S19_L001_R2_001.fastq,1027_R2.fastq
Phoenix-theophrasti-PL17_S13_L001_R1_001.fastq,1028_R1.fastq
Phoenix-theophrasti-PL17_S13_L001_R2_001.fastq,1028_R2.fastq
Pritchardia-aylmer-robinsonii-PL12_S10_L001_R1_001.fastq,1029_R1.fastq
Pritchardia-aylmer-robinsonii-PL12_S10_L001_R2_001.fastq,1029_R2.fastq
Pritchardia-thurstonii-PL13_S11_L001_R1_001.fastq,1030_R1.fastq
Pritchardia-thurstonii-PL13_S11_L001_R2_001.fastq,1030_R2.fastq
Rhapis-evansii-PL47_S36_L001_R1_001.fastq,1031_R1.fastq
Rhapis-evansii-PL47_S36_L001_R2_001.fastq,1031_R2.fastq
Tahina-spectabilis-PL37_S33_L001_R1_001.fastq,1032_R1.fastq
Tahina-spectabilis-PL37_S33_L001_R2_001.fastq,1032_R2.fastq
Thrinax-morissii-PL40_S34_L001_R1_001.fastq,1033_R1.fastq
Thrinax-morissii-PL40_S34_L001_R2_001.fastq,1033_R2.fastq
Trachycarpus-geminisectus-PL16_S12_L001_R1_001.fastq,1034_R1.fastq
Trachycarpus-geminisectus-PL16_S12_L001_R2_001.fastq,1034_R2.fastq
Trachycarpus-takil-PL36_S32_L001_R1_001.fastq,1035_R1.fastq
Trachycarpus-takil-PL36_S32_L001_R2_001.fastq,1035_R2.fastq
Wallichia-densiflora-PL31_S27_L001_R1_001.fastq,1036_R1.fastq
Wallichia-densiflora-PL31_S27_L001_R2_001.fastq,1036_R2.fastq
Wolf_Eiserhardt_Arenga-undulatifolia-MSL72-S42_R1_001.fastq,1037_R1.fastq
Wolf_Eiserhardt_Arenga-undulatifolia-MSL72-S42_R2_001.fastq,1037_R2.fastq
Wolf_Eiserhardt_Arenga-undulatifolia-SBL593_R1_001.fastq,1038_R1.fastq
Wolf_Eiserhardt_Arenga-undulatifolia-SBL593_R2_001.fastq,1038_R2.fastq
Wolf_Eiserhardt_Bismarckia-nobilis-MSL41-S3_R1_001.fastq,1039_R1.fastq
Wolf_Eiserhardt_Bismarckia-nobilis-MSL41-S3_R2_001.fastq,1039_R2.fastq
Wolf_Eiserhardt_Borassodendron-borneense-SBL157-S6_R1_001.fastq,1040_R1.fastq
Wolf_Eiserhardt_Borassodendron-borneense-SBL157-S6_R2_001.fastq,1040_R2.fastq
Wolf_Eiserhardt_Borassus-flabellifer-SBL153_R1_001.fastq,1041_R1.fastq
Wolf_Eiserhardt_Borassus-flabellifer-SBL153_R2_001.fastq,1041_R2.fastq
Wolf_Eiserhardt_Brahea-edulis-MSL40-S40_R1_001.fastq,1042_R1.fastq
Wolf_Eiserhardt_Brahea-edulis-MSL40-S40_R2_001.fastq,1042_R2.fastq
Wolf_Eiserhardt_Caryota-rumphiana-MSL80_R1_001.fastq,1043_R1.fastq
Wolf_Eiserhardt_Caryota-rumphiana-MSL80_R2_001.fastq,1043_R2.fastq
Wolf_Eiserhardt_Chamaerops-humilis-MSL24_R1_001.fastq,1044_R1.fastq
